full_name,eccentricity,semi-major axis (au),inclination (deg),TP (TDB),sigma_e,sigma_a,sigma_i,sigma_TP
     C/2007 T5 (Gibbs),0.913624284,46.87954351,45.61520884,2454610.737,1.19E-05,0.0065591,6.92E-05,0.0017984
     C/2008 H1 (LINEAR),0.946513437,51.60662049,75.49198856,2454541.92,0.00010411,0.10128,0.00021515,0.0078757
     C/2008 X3 (LINEAR),0.956541555,43.76884148,66.47506856,2454750.088,3.43E-05,0.035068,0.00056535,0.0021759
     C/2009 B2 (LINEAR),0.944303776,41.79126299,156.8729976,2454897.894,0.00014803,0.11153,0.0003323,0.0028898
     C/2009 E1 (Itagaki),0.985073069,40.17714974,127.4534004,2454929.42,1.11E-06,0.0030062,7.26E-05,1.76E-05
     C/2009 K4 (Gibbs),0.962754794,41.58721802,34.82477847,2455001.885,0.00068834,0.77279,0.00044441,0.0041039
     C/2010 J1 (Boattini),0.953825181,36.72256345,134.3849456,2455232.32,0.00011398,0.091518,0.00068272,0.0068799
     C/2011 KP36 (Spacewatch),0.872843717,38.40381019,18.98677238,2457535.439,1.14E-06,0.00034833,7.43E-06,0.00021816
     C/2011 Q4 (SWAN),0.974157416,43.03856673,147.8430711,2455825.583,5.45E-06,0.0092491,4.30E-05,0.00018069
     C/2012 Y1 (LINEAR),0.946866528,37.94599655,20.95943967,2456310.697,6.07E-05,0.044003,0.00028518,0.0065667
     C/2013 J6 (Catalina),0.959637456,59.850612,85.05498115,2456392.064,0.00021237,0.31709,0.0020793,0.012589
     C/2013 N4 (Borisov),0.974805081,48.04164824,37.03522605,2456526.014,6.86E-06,0.013147,3.37E-05,0.00024106
     C/2013 PE67 (Catalina-Spacewatch),0.966805526,55.64397377,116.7175354,2456635.802,7.39E-06,0.012436,5.34E-05,0.00041955
     C/2014 G3 (PANSTARRS),0.915635876,55.68691039,155.8245425,2457056.077,1.32E-05,0.0088143,3.09E-05,0.0032447
     C/2015 F2 (Polonia),0.968441653,38.35915862,28.69373589,2457141.324,3.89E-05,0.047525,0.00033464,0.00026858
     C/2015 H1 (Bressi),0.940782816,32.53034309,140.6555791,2457110.119,8.69E-05,0.048262,8.42E-05,0.0057589
     C/2016 A8 (LINEAR),0.946347619,35.06142569,148.2118394,2457631.17,1.62E-05,0.010642,1.39E-05,0.00013534
     C/2017 A3 (Elenin),0.91108804,43.35238777,98.50846902,2457784.104,3.55E-05,0.017442,8.43E-05,0.0035305
     C/2017 X1 (PANSTARRS),0.851089348,31.31186459,31.31097348,2458283.9,4.06E-05,0.008365,6.02E-05,0.071685
     C/2018 E1 (ATLAS),0.950390391,54.53497488,72.47932864,2458225.813,1.03E-05,0.011397,3.89E-05,0.00089157
     C/2019 A9 (PANSTARRS),0.963350109,38.91958263,84.34110446,2458691.018,0.00014944,0.16278,0.0041642,0.0098192
